programa,plan_url
911 Por Competidor,https://docs.google.com/spreadsheets/d/1bRxDj5WjIYrM8rSs2VDm7f8U3ELgKgAzDaNOnZFZBSo/edit?gid=0
Agua Prieta,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=0
Aguascalientes,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=201590724
Altamira,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=201590724
Bachillerato General - Formación En Administración (2 Años Y 3 Años),https://drive.google.com/file/d/1XNVs6F8oEW4oSSqjY6kMP7ypnvuzfQKR/view?usp=drive_link
Bachillerato General - Formación En Administración (2 Años),https://drive.google.com/file/d/1XNVs6F8oEW4oSSqjY6kMP7ypnvuzfQKR/view?usp=drive_link
Bachillerato General - Formación En Administración (3 Años),https://drive.google.com/file/d/1C9YbGRUTfhaBUNIUpt9u3IfkWCrPUvrz/view?usp=drive_link
Cananea,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=0
Cd Del Carmen,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=0
Cd Mante,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=201590724
Chihuahua,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=0
Culiacán,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=0
Ensenada,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=0
Hermosillo,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=0
Ingeniería Industrial Y De Sistemas,https://drive.google.com/file/d/18d9YJfMeuZEhMspeQ4m-RvacY3v-0V2l/view?usp=drive_link
La Paz,https://docs.google.com/spreadsheets/d/1wLbX9XoaD_ne9jUfLB0cwAzVIskZmEfH3jOBWspotcw/edit?gid=0
